Row Labels,OJ,Grand Total,day of week,numerical,weekend,# of Boxes,Rounded # of Boxes,,
10/7/2015,56,56,Wednesday,3,0,2.333333333,2,,
10/8/2015,50,50,Thursday,4,0,2.083333333,2,,
10/9/2015,52,52,Friday,5,1,2.166666667,2,,
10/10/2015,85,85,Saturday,6,1,3.541666667,4,,
10/12/2015,45,45,Monday,1,0,1.875,2,,
10/13/2015,30,30,Tuesday,2,0,1.25,1,,
10/14/2015,43,43,Wednesday,3,0,1.791666667,2,,
10/15/2015,48,48,Thursday,4,0,2,2,,
10/16/2015,35,35,Friday,5,1,1.458333333,1,,
10/17/2015,70,70,Saturday,6,1,2.916666667,3,,
10/19/2015,33,33,Monday,1,0,1.375,1,,
10/20/2015,45,45,Tuesday,2,0,1.875,2,,
10/21/2015,33,33,Wednesday,3,0,1.375,1,,
10/22/2015,34,34,Thursday,4,0,1.416666667,1,,
10/24/2015,86,86,Saturday,6,1,3.583333333,4,,
10/26/2015,31,31,Monday,1,0,1.291666667,1,,
10/27/2015,37,37,Tuesday,2,0,1.541666667,2,,
10/28/2015,47,47,Wednesday,3,0,1.958333333,2,,
10/29/2015,39,39,Thursday,4,0,1.625,2,,
10/30/2015,54,54,Friday,5,1,2.25,2,,
10/31/2015,94,94,Saturday,6,1,3.916666667,4,,
11/2/2015,75,75,Monday,1,0,3.125,3,,
11/3/2015,49,49,Tuesday,2,0,2.041666667,2,,
11/4/2015,38,38,Wednesday,3,0,1.583333333,2,,
11/5/2015,26,26,Thursday,4,0,1.083333333,1,,
11/6/2015,42,42,Friday,5,1,1.75,2,,
11/7/2015,99,99,Saturday,6,1,4.125,4,,
11/9/2015,40,40,Monday,1,0,1.666666667,2,,
11/10/2015,38,38,Tuesday,2,0,1.583333333,2,,
11/11/2015,37,37,Wednesday,3,0,1.541666667,2,,
11/13/2015,65,65,Friday,5,1,2.708333333,3,,
11/14/2015,80,80,Saturday,6,1,3.333333333,3,,
11/16/2015,28,28,Monday,1,0,1.166666667,1,,
11/17/2015,51,51,Tuesday,2,0,2.125,2,,
11/18/2015,32,32,Wednesday,3,0,1.333333333,1,,
11/19/2015,41,41,Thursday,4,0,1.708333333,2,,
11/20/2015,52,52,Friday,5,1,2.166666667,2,,
11/21/2015,72,72,Saturday,6,1,3,3,,
11/23/2015,139,139,Monday,1,0,5.791666667,6,,
11/24/2015,36,36,Tuesday,2,0,1.5,2,,
11/25/2015,39,39,Wednesday,3,0,1.625,2,,
11/27/2015,42,42,Friday,5,1,1.75,2,,
11/28/2015,39,39,Saturday,6,1,1.625,2,,
11/30/2015,27,27,Monday,1,0,1.125,1,,
12/1/2015,39,39,Tuesday,2,0,1.625,2,,
12/2/2015,44,44,Wednesday,3,0,1.833333333,2,,
12/3/2015,35,35,Thursday,4,0,1.458333333,1,,
12/4/2015,33,33,Friday,5,1,1.375,1,,
12/5/2015,61,61,Saturday,6,1,2.541666667,3,,
12/7/2015,23,23,Monday,1,0,0.958333333,1,,
12/8/2015,46,46,Tuesday,2,0,1.916666667,2,,
12/9/2015,27,27,Wednesday,3,0,1.125,1,,
12/10/2015,40,40,Thursday,4,0,1.666666667,2,,
12/11/2015,52,52,Friday,5,1,2.166666667,2,,
12/12/2015,79,79,Saturday,6,1,3.291666667,3,,
12/14/2015,44,44,Monday,1,0,1.833333333,2,,
12/15/2015,39,39,Tuesday,2,0,1.625,2,,
12/16/2015,38,38,Wednesday,3,0,1.583333333,2,,
12/17/2015,46,46,Thursday,4,0,1.916666667,2,,
12/18/2015,54,54,Friday,5,1,2.25,2,,
12/19/2015,78,78,Saturday,6,1,3.25,3,,
12/21/2015,27,27,Monday,1,0,1.125,1,,
12/22/2015,27,27,Tuesday,2,0,1.125,1,,
12/23/2015,44,44,Wednesday,3,0,1.833333333,2,,
12/24/2015,51,51,Thursday,4,0,2.125,2,,
12/26/2015,45,45,Saturday,6,1,1.875,2,,
12/28/2015,26,26,Monday,1,0,1.083333333,1,,
12/29/2015,26,26,Tuesday,2,0,1.083333333,1,,
12/30/2015,34,34,Wednesday,3,0,1.416666667,1,,
12/31/2015,37,37,Thursday,4,0,1.541666667,2,,
1/1/2016,3,3,Friday,5,1,0.125,0,,
1/2/2016,45,45,Saturday,6,1,1.875,2,,
1/4/2016,39,39,Monday,1,0,1.625,2,,
1/5/2016,23,23,Tuesday,2,0,0.958333333,1,,
1/6/2016,37,37,Wednesday,3,0,1.541666667,2,,
1/7/2016,40,40,Thursday,4,0,1.666666667,2,,
1/8/2016,47,47,Friday,5,1,1.958333333,2,,
1/9/2016,58,58,Saturday,6,1,2.416666667,2,,
1/11/2016,26,26,Monday,1,0,1.083333333,1,,
1/12/2016,25,25,Tuesday,2,0,1.041666667,1,,
1/13/2016,36,36,Wednesday,3,0,1.5,2,,
1/14/2016,23,23,Thursday,4,0,0.958333333,1,,
1/15/2016,47,47,Friday,5,1,1.958333333,2,,
1/16/2016,48,48,Saturday,6,1,2,2,,
1/18/2016,42,42,Monday,1,0,1.75,2,,
1/19/2016,46,46,Tuesday,2,0,1.916666667,2,,
1/20/2016,34,34,Wednesday,3,0,1.416666667,1,,
1/21/2016,49,49,Thursday,4,0,2.041666667,2,,
1/22/2016,31,31,Friday,5,1,1.291666667,1,,
1/23/2016,1,1,Saturday,6,1,0.041666667,0,,
1/25/2016,25,25,Monday,1,0,1.041666667,1,,
1/26/2016,50,50,Tuesday,2,0,2.083333333,2,,
1/27/2016,25,25,Wednesday,3,0,1.041666667,1,,
1/28/2016,34,34,Thursday,4,0,1.416666667,1,,
1/29/2016,34,34,Friday,5,1,1.416666667,1,,
1/30/2016,61,61,Saturday,6,1,2.541666667,3,,
2/1/2016,35,35,Monday,1,0,1.458333333,1,,
2/2/2016,45,45,Tuesday,2,0,1.875,2,,
2/3/2016,31,31,Wednesday,3,0,1.291666667,1,,
2/4/2016,44,44,Thursday,4,0,1.833333333,2,,
2/5/2016,43,43,Friday,5,1,1.791666667,2,,
2/6/2016,74,74,Saturday,6,1,3.083333333,3,,
2/8/2016,21,21,Monday,1,0,0.875,1,,
2/9/2016,32,32,Tuesday,2,0,1.333333333,1,,
2/10/2016,31,31,Wednesday,3,0,1.291666667,1,,
2/11/2016,42,42,Thursday,4,0,1.75,2,,
2/12/2016,50,50,Friday,5,1,2.083333333,2,,
2/13/2016,68,68,Saturday,6,1,2.833333333,3,,
2/15/2016,27,27,Monday,1,0,1.125,1,,
2/16/2016,46,46,Tuesday,2,0,1.916666667,2,,
2/17/2016,42,42,Wednesday,3,0,1.75,2,,
2/18/2016,41,41,Thursday,4,0,1.708333333,2,,
2/19/2016,38,38,Friday,5,1,1.583333333,2,,
2/20/2016,51,51,Saturday,6,1,2.125,2,,
2/22/2016,23,23,Monday,1,0,0.958333333,1,,
2/23/2016,24,24,Tuesday,2,0,1,1,,
2/24/2016,36,36,Wednesday,3,0,1.5,2,,
2/25/2016,40,40,Thursday,4,0,1.666666667,2,,
2/26/2016,42,42,Friday,5,1,1.75,2,,
2/27/2016,67,67,Saturday,6,1,2.791666667,3,,
2/29/2016,29,29,Monday,1,0,1.208333333,1,,
3/1/2016,31,31,Tuesday,2,0,1.291666667,1,,
3/2/2016,27,27,Wednesday,3,0,1.125,1,,
3/3/2016,39,39,Thursday,4,0,1.625,2,,
3/4/2016,36,36,Friday,5,1,1.5,2,,
3/5/2016,74,74,Saturday,6,1,3.083333333,3,,
3/7/2016,38,38,Monday,1,0,1.583333333,2,,
3/8/2016,43,43,Tuesday,2,0,1.791666667,2,,
3/9/2016,44,44,Wednesday,3,0,1.833333333,2,,
3/10/2016,64,64,Thursday,4,0,2.666666667,3,,
3/11/2016,45,45,Friday,5,1,1.875,2,,
3/12/2016,85,85,Saturday,6,1,3.541666667,4,,
3/14/2016,33,33,Monday,1,0,1.375,1,,
3/15/2016,28,28,Tuesday,2,0,1.166666667,1,,
3/16/2016,26,26,Wednesday,3,0,1.083333333,1,,
3/17/2016,42,42,Thursday,4,0,1.75,2,,
3/18/2016,52,52,Friday,5,1,2.166666667,2,,
3/19/2016,57,57,Saturday,6,1,2.375,2,,
3/21/2016,43,43,Monday,1,0,1.791666667,2,,
3/22/2016,29,29,Tuesday,2,0,1.208333333,1,,
3/23/2016,36,36,Wednesday,3,0,1.5,2,,
3/24/2016,35,35,Thursday,4,0,1.458333333,1,,
3/25/2016,55,55,Friday,5,1,2.291666667,2,,
3/26/2016,67,67,Saturday,6,1,2.791666667,3,,
3/28/2016,20,20,Monday,1,0,0.833333333,1,,
3/29/2016,29,29,Tuesday,2,0,1.208333333,1,,
3/30/2016,22,22,Wednesday,3,0,0.916666667,1,,
3/31/2016,30,30,Thursday,4,0,1.25,1,,
4/1/2016,55,55,Friday,5,1,2.291666667,2,,
4/2/2016,68,68,Saturday,6,1,2.833333333,3,,
4/4/2016,35,35,Monday,1,0,1.458333333,1,,
4/5/2016,36,36,Tuesday,2,0,1.5,2,,
4/6/2016,32,32,Wednesday,3,0,1.333333333,1,,
4/7/2016,36,36,Thursday,4,0,1.5,2,,
4/8/2016,29,29,Friday,5,1,1.208333333,1,,
4/9/2016,37,37,Saturday,6,1,1.541666667,2,,
4/11/2016,38,38,Monday,1,0,1.583333333,2,,
4/12/2016,30,30,Tuesday,2,0,1.25,1,,
4/13/2016,37,37,Wednesday,3,0,1.541666667,2,,
4/14/2016,27,27,Thursday,4,0,1.125,1,,
4/15/2016,37,37,Friday,5,1,1.541666667,2,,
4/16/2016,79,79,Saturday,6,1,3.291666667,3,,
4/18/2016,39,39,Monday,1,0,1.625,2,,
4/19/2016,32,32,Tuesday,2,0,1.333333333,1,,
4/20/2016,29,29,Wednesday,3,0,1.208333333,1,,
4/21/2016,33,33,Thursday,4,0,1.375,1,,
4/22/2016,41,41,Friday,5,1,1.708333333,2,,
4/23/2016,38,38,Saturday,6,1,1.583333333,2,,
4/25/2016,39,39,Monday,1,0,1.625,2,,
4/26/2016,26,26,Tuesday,2,0,1.083333333,1,,
4/27/2016,30,30,Wednesday,3,0,1.25,1,,
4/28/2016,37,37,Thursday,4,0,1.541666667,2,,
4/29/2016,61,61,Friday,5,1,2.541666667,3,,
4/30/2016,57,57,Saturday,6,1,2.375,2,,
5/2/2016,30,30,Monday,1,0,1.25,1,,
5/3/2016,42,42,Tuesday,2,0,1.75,2,,
5/4/2016,41,41,Wednesday,3,0,1.708333333,2,,
5/5/2016,36,36,Thursday,4,0,1.5,2,,
5/6/2016,69,69,Friday,5,1,2.875,3,,
5/7/2016,69,69,Saturday,6,1,2.875,3,,
5/9/2016,32,32,Monday,1,0,1.333333333,1,,
5/10/2016,35,35,Tuesday,2,0,1.458333333,1,,
5/11/2016,45,45,Wednesday,3,0,1.875,2,,
5/12/2016,41,41,Thursday,4,0,1.708333333,2,,
5/13/2016,74,74,Friday,5,1,3.083333333,3,,
5/14/2016,74,74,Saturday,6,1,3.083333333,3,,
5/16/2016,36,36,Monday,1,0,1.5,2,,
5/17/2016,26,26,Tuesday,2,0,1.083333333,1,,
5/18/2016,27,27,Wednesday,3,0,1.125,1,,
5/19/2016,31,31,Thursday,4,0,1.291666667,1,,
5/20/2016,61,61,Friday,5,1,2.541666667,3,,
5/21/2016,65,65,Saturday,6,1,2.708333333,3,,
5/23/2016,35,35,Monday,1,0,1.458333333,1,,
5/24/2016,32,32,Tuesday,2,0,1.333333333,1,,
5/25/2016,46,46,Wednesday,3,0,1.916666667,2,,
5/26/2016,37,37,Thursday,4,0,1.541666667,2,,
5/27/2016,56,56,Friday,5,1,2.333333333,2,,
5/28/2016,42,42,Saturday,6,1,1.75,2,,
5/30/2016,3,3,Monday,1,0,0.125,0,,
5/31/2016,58,58,Tuesday,2,0,2.416666667,2,,
6/1/2016,41,41,Wednesday,3,0,1.708333333,2,,
6/2/2016,45,45,Thursday,4,0,1.875,2,,
6/3/2016,47,47,Friday,5,1,1.958333333,2,,
6/4/2016,48,48,Saturday,6,1,2,2,,
6/6/2016,41,41,Monday,1,0,1.708333333,2,,
6/7/2016,31,31,Tuesday,2,0,1.291666667,1,,
6/8/2016,47,47,Wednesday,3,0,1.958333333,2,,
6/9/2016,32,32,Thursday,4,0,1.333333333,1,,
6/10/2016,47,47,Friday,5,1,1.958333333,2,,
6/11/2016,68,68,Saturday,6,1,2.833333333,3,,
6/13/2016,25,25,Monday,1,0,1.041666667,1,,
6/14/2016,31,31,Tuesday,2,0,1.291666667,1,,
6/15/2016,37,37,Wednesday,3,0,1.541666667,2,,
6/16/2016,38,38,Thursday,4,0,1.583333333,2,,
6/17/2016,37,37,Friday,5,1,1.541666667,2,,
6/18/2016,58,58,Saturday,6,1,2.416666667,2,,
6/20/2016,26,26,Monday,1,0,1.083333333,1,,
6/21/2016,37,37,Tuesday,2,0,1.541666667,2,,
6/22/2016,35,35,Wednesday,3,0,1.458333333,1,,
6/23/2016,28,28,Thursday,4,0,1.166666667,1,,
6/24/2016,50,50,Friday,5,1,2.083333333,2,,
6/25/2016,83,83,Saturday,6,1,3.458333333,3,,
6/27/2016,25,25,Monday,1,0,1.041666667,1,,
6/28/2016,25,25,Tuesday,2,0,1.041666667,1,,
6/29/2016,21,21,Wednesday,3,0,0.875,1,,
6/30/2016,37,37,Thursday,4,0,1.541666667,2,,
7/1/2016,55,55,Friday,5,1,2.291666667,2,,
7/2/2016,55,55,Saturday,6,1,2.291666667,2,,
7/4/2016,2,2,Monday,1,0,0.083333333,0,,
7/5/2016,36,36,Tuesday,2,0,1.5,2,,
7/6/2016,25,25,Wednesday,3,0,1.041666667,1,,
7/7/2016,35,35,Thursday,4,0,1.458333333,1,,
7/8/2016,47,47,Friday,5,1,1.958333333,2,,
7/9/2016,65,65,Saturday,6,1,2.708333333,3,,
7/11/2016,40,40,Monday,1,0,1.666666667,2,,
7/12/2016,33,33,Tuesday,2,0,1.375,1,,
7/13/2016,50,50,Wednesday,3,0,2.083333333,2,,
7/14/2016,44,44,Thursday,4,0,1.833333333,2,,
7/15/2016,54,54,Friday,5,1,2.25,2,,
7/16/2016,44,44,Saturday,6,1,1.833333333,2,,
7/18/2016,28,28,Monday,1,0,1.166666667,1,,
7/19/2016,48,48,Tuesday,2,0,2,2,,
7/20/2016,37,37,Wednesday,3,0,1.541666667,2,,
7/21/2016,43,43,Thursday,4,0,1.791666667,2,,
7/22/2016,51,51,Friday,5,1,2.125,2,,
7/23/2016,54,54,Saturday,6,1,2.25,2,,
7/25/2016,35,35,Monday,1,0,1.458333333,1,,
7/26/2016,51,51,Tuesday,2,0,2.125,2,,
7/27/2016,49,49,Wednesday,3,0,2.041666667,2,,
7/28/2016,53,53,Thursday,4,0,2.208333333,2,,
7/29/2016,56,56,Friday,5,1,2.333333333,2,,
7/30/2016,82,82,Saturday,6,1,3.416666667,3,,
8/1/2016,44,44,Monday,1,0,1.833333333,2,,
8/2/2016,39,39,Tuesday,2,0,1.625,2,,
8/3/2016,41,41,Wednesday,3,0,1.708333333,2,,
8/4/2016,30,30,Thursday,4,0,1.25,1,,
8/5/2016,62,62,Friday,5,1,2.583333333,3,,
8/6/2016,85,85,Saturday,6,1,3.541666667,4,,
8/8/2016,37,37,Monday,1,0,1.541666667,2,,
8/9/2016,41,41,Tuesday,2,0,1.708333333,2,,
8/10/2016,32,32,Wednesday,3,0,1.333333333,1,,
8/11/2016,55,55,Thursday,4,0,2.291666667,2,,
8/12/2016,47,47,Friday,5,1,1.958333333,2,,
8/13/2016,72,72,Saturday,6,1,3,3,,
8/15/2016,38,38,Monday,1,0,1.583333333,2,,
8/16/2016,62,62,Tuesday,2,0,2.583333333,3,,
8/17/2016,48,48,Wednesday,3,0,2,2,,
8/18/2016,54,54,Thursday,4,0,2.25,2,,
8/19/2016,53,53,Friday,5,1,2.208333333,2,,
8/20/2016,69,69,Saturday,6,1,2.875,3,,
8/22/2016,36,36,Monday,1,0,1.5,2,,
8/23/2016,49,49,Tuesday,2,0,2.041666667,2,,
8/24/2016,48,48,Wednesday,3,0,2,2,,
8/25/2016,56,56,Thursday,4,0,2.333333333,2,,
8/26/2016,61,61,Friday,5,1,2.541666667,3,,
8/27/2016,71,71,Saturday,6,1,2.958333333,3,,
8/29/2016,30,30,Monday,1,0,1.25,1,,
8/30/2016,43,43,Tuesday,2,0,1.791666667,2,,
8/31/2016,48,48,Wednesday,3,0,2,2,,
9/1/2016,46,46,Thursday,4,0,1.916666667,2,,
9/2/2016,73,73,Friday,5,1,3.041666667,3,,
9/3/2016,68,68,Saturday,6,1,2.833333333,3,,
9/5/2016,3,3,Monday,1,0,0.125,0,,
9/6/2016,35,35,Tuesday,2,0,1.458333333,1,,
9/7/2016,43,43,Wednesday,3,0,1.791666667,2,,
9/8/2016,45,45,Thursday,4,0,1.875,2,,
9/9/2016,64,64,Friday,5,1,2.666666667,3,,
9/10/2016,79,79,Saturday,6,1,3.291666667,3,,
9/12/2016,39,39,Monday,1,0,1.625,2,,
9/13/2016,38,38,Tuesday,2,0,1.583333333,2,,
9/14/2016,39,39,Wednesday,3,0,1.625,2,,
9/15/2016,47,47,Thursday,4,0,1.958333333,2,,
9/16/2016,71,71,Friday,5,1,2.958333333,3,,
9/17/2016,100,100,Saturday,6,1,4.166666667,4,,
9/19/2016,38,38,Monday,1,0,1.583333333,2,,
9/20/2016,46,46,Tuesday,2,0,1.916666667,2,,
9/21/2016,51,51,Wednesday,3,0,2.125,2,,
9/22/2016,35,35,Thursday,4,0,1.458333333,1,,
9/23/2016,62,62,Friday,5,1,2.583333333,3,,
9/24/2016,72,72,Saturday,6,1,3,3,,
9/26/2016,36,36,Monday,1,0,1.5,2,,
9/27/2016,42,42,Tuesday,2,0,1.75,2,,
9/28/2016,42,42,Wednesday,3,0,1.75,2,,
9/29/2016,37,37,Thursday,4,0,1.541666667,2,,
9/30/2016,42,42,Friday,5,1,1.75,2,,
10/1/2016,58,58,Saturday,6,1,2.416666667,2,,
10/3/2016,38,38,Monday,1,0,1.583333333,2,,
10/4/2016,45,45,Tuesday,2,0,1.875,2,,
10/5/2016,44,44,Wednesday,3,0,1.833333333,2,,
10/6/2016,61,61,Thursday,4,0,2.541666667,3,,
10/7/2016,56,56,Friday,5,1,2.333333333,2,,
10/8/2016,90,90,Saturday,6,1,3.75,4,,
10/10/2016,54,54,Monday,1,0,2.25,2,,
10/11/2016,43,43,Tuesday,2,0,1.791666667,2,,
10/12/2016,55,55,Wednesday,3,0,2.291666667,2,,
10/13/2016,55,55,Thursday,4,0,2.291666667,2,,
10/14/2016,72,72,Friday,5,1,3,3,,
10/15/2016,107,107,Saturday,6,1,4.458333333,4,,
10/17/2016,38,38,Monday,1,0,1.583333333,2,,
10/18/2016,41,41,Tuesday,2,0,1.708333333,2,,
10/19/2016,57,57,Wednesday,3,0,2.375,2,,
10/20/2016,64,64,Thursday,4,0,2.666666667,3,,
10/21/2016,57,57,Friday,5,1,2.375,2,,
10/22/2016,77,77,Saturday,6,1,3.208333333,3,,
10/24/2016,38,38,Monday,1,0,1.583333333,2,,
10/25/2016,46,46,Tuesday,2,0,1.916666667,2,,
10/26/2016,44,44,Wednesday,3,0,1.833333333,2,,
10/27/2016,64,64,Thursday,4,0,2.666666667,3,,
10/28/2016,68,68,Friday,5,1,2.833333333,3,,
10/29/2016,86,86,Saturday,6,1,3.583333333,4,,
10/31/2016,43,43,Monday,1,0,1.791666667,2,,
11/1/2016,42,42,Tuesday,2,0,1.75,2,,
11/2/2016,53,53,Wednesday,3,0,2.208333333,2,,
11/3/2016,45,45,Thursday,4,0,1.875,2,,
11/4/2016,79,79,Friday,5,1,3.291666667,3,,
11/5/2016,87,87,Saturday,6,1,3.625,4,,
11/7/2016,54,54,Monday,1,0,2.25,2,,
11/8/2016,76,76,Tuesday,2,0,3.166666667,3,,
11/9/2016,57,57,Wednesday,3,0,2.375,2,,
11/10/2016,54,54,Thursday,4,0,2.25,2,,
11/11/2016,77,77,Friday,5,1,3.208333333,3,,
11/12/2016,87,87,Saturday,6,1,3.625,4,,
11/14/2016,33,33,Monday,1,0,1.375,1,,
11/15/2016,67,67,Tuesday,2,0,2.791666667,3,,
11/16/2016,46,46,Wednesday,3,0,1.916666667,2,,
11/17/2016,62,62,Thursday,4,0,2.583333333,3,,
11/18/2016,62,62,Friday,5,1,2.583333333,3,,
11/19/2016,59,59,Saturday,6,1,2.458333333,2,,
11/21/2016,50,50,Monday,1,0,2.083333333,2,,
11/22/2016,55,55,Tuesday,2,0,2.291666667,2,,
11/23/2016,55,55,Wednesday,3,0,2.291666667,2,,
11/25/2016,58,58,Friday,5,1,2.416666667,2,,
11/26/2016,56,56,Saturday,6,1,2.333333333,2,,
11/28/2016,44,44,Monday,1,0,1.833333333,2,,
11/29/2016,62,62,Tuesday,2,0,2.583333333,3,,
11/30/2016,55,55,Wednesday,3,0,2.291666667,2,,
12/1/2016,48,48,Thursday,4,0,2,2,,
12/2/2016,67,67,Friday,5,1,2.791666667,3,,
12/3/2016,84,84,Saturday,6,1,3.5,4,,
12/5/2016,53,53,Monday,1,0,2.208333333,2,,
12/6/2016,54,54,Tuesday,2,0,2.25,2,,
12/7/2016,59,59,Wednesday,3,0,2.458333333,2,,
12/8/2016,61,61,Thursday,4,0,2.541666667,3,,
12/9/2016,64,64,Friday,5,1,2.666666667,3,,
12/10/2016,85,85,Saturday,6,1,3.541666667,4,,
12/12/2016,42,42,Monday,1,0,1.75,2,,
12/13/2016,51,51,Tuesday,2,0,2.125,2,,
12/14/2016,42,42,Wednesday,3,0,1.75,2,,
12/15/2016,48,48,Thursday,4,0,2,2,,
12/16/2016,50,50,Friday,5,1,2.083333333,2,,
12/17/2016,65,65,Saturday,6,1,2.708333333,3,,
12/19/2016,91,91,Monday,1,0,3.791666667,4,,
12/20/2016,49,49,Tuesday,2,0,2.041666667,2,,
12/21/2016,57,57,Wednesday,3,0,2.375,2,,
12/22/2016,60,60,Thursday,4,0,2.5,3,,
12/23/2016,66,66,Friday,5,1,2.75,3,,
12/24/2016,41,41,Saturday,6,1,1.708333333,2,,
12/26/2016,41,41,Monday,1,0,1.708333333,2,,
12/27/2016,45,45,Tuesday,2,0,1.875,2,,
12/28/2016,60,60,Wednesday,3,0,2.5,3,,
12/29/2016,54,54,Thursday,4,0,2.25,2,,
12/30/2016,70,70,Friday,5,1,2.916666667,3,,
12/31/2016,63,63,Saturday,6,1,2.625,3,,
1/2/2017,39,39,Monday,1,0,1.625,2,,
1/3/2017,38,38,Tuesday,2,0,1.583333333,2,,
1/4/2017,57,57,Wednesday,3,0,2.375,2,,
1/5/2017,47,47,Thursday,4,0,1.958333333,2,,
1/6/2017,65,65,Friday,5,1,2.708333333,3,,
1/9/2017,34,34,Monday,1,0,1.416666667,1,,
1/10/2017,42,42,Tuesday,2,0,1.75,2,,
1/11/2017,49,49,Wednesday,3,0,2.041666667,2,,
1/12/2017,45,45,Thursday,4,0,1.875,2,,
1/13/2017,72,72,Friday,5,1,3,3,,
1/14/2017,67,67,Saturday,6,1,2.791666667,3,,
1/16/2017,56,56,Monday,1,0,2.333333333,2,,
1/17/2017,51,51,Tuesday,2,0,2.125,2,,
1/18/2017,63,63,Wednesday,3,0,2.625,3,,
1/19/2017,49,49,Thursday,4,0,2.041666667,2,,
1/20/2017,84,84,Friday,5,1,3.5,4,,
1/21/2017,69,69,Saturday,6,1,2.875,3,,
1/23/2017,43,43,Monday,1,0,1.791666667,2,,
1/24/2017,43,43,Tuesday,2,0,1.791666667,2,,
1/25/2017,49,49,Wednesday,3,0,2.041666667,2,,
1/26/2017,51,51,Thursday,4,0,2.125,2,,
1/27/2017,68,68,Friday,5,1,2.833333333,3,,
1/28/2017,57,57,Saturday,6,1,2.375,2,,
1/30/2017,44,44,Monday,1,0,1.833333333,2,,
1/31/2017,41,41,Tuesday,2,0,1.708333333,2,,
2/1/2017,58,58,Wednesday,3,0,2.416666667,2,,
2/2/2017,60,60,Thursday,4,0,2.5,3,,
2/3/2017,88,88,Friday,5,1,3.666666667,4,,
2/4/2017,73,73,Saturday,6,1,3.041666667,3,,
2/6/2017,41,41,Monday,1,0,1.708333333,2,,
2/7/2017,43,43,Tuesday,2,0,1.791666667,2,,
2/8/2017,54,54,Wednesday,3,0,2.25,2,,
2/9/2017,56,56,Thursday,4,0,2.333333333,2,,
2/10/2017,76,76,Friday,5,1,3.166666667,3,,
2/11/2017,82,82,Saturday,6,1,3.416666667,3,,
2/13/2017,41,41,Monday,1,0,1.708333333,2,,
2/14/2017,56,56,Tuesday,2,0,2.333333333,2,,
2/15/2017,59,59,Wednesday,3,0,2.458333333,2,,
2/16/2017,46,46,Thursday,4,0,1.916666667,2,,
2/17/2017,92,92,Friday,5,1,3.833333333,4,,
2/18/2017,66,66,Saturday,6,1,2.75,3,,
2/20/2017,60,60,Monday,1,0,2.5,3,,
2/21/2017,71,71,Tuesday,2,0,2.958333333,3,,
2/22/2017,64,64,Wednesday,3,0,2.666666667,3,,
2/23/2017,67,67,Thursday,4,0,2.791666667,3,,
2/24/2017,52,52,Friday,5,1,2.166666667,2,,
2/25/2017,74,74,Saturday,6,1,3.083333333,3,,
2/27/2017,55,55,Monday,1,0,2.291666667,2,,
2/28/2017,57,57,Tuesday,2,0,2.375,2,,
3/1/2017,34,34,Wednesday,3,0,1.416666667,1,,
3/2/2017,44,44,Thursday,4,0,1.833333333,2,,
3/3/2017,82,82,Friday,5,1,3.416666667,3,,
3/4/2017,88,88,Saturday,6,1,3.666666667,4,,
3/6/2017,43,43,Monday,1,0,1.791666667,2,,
3/7/2017,54,54,Tuesday,2,0,2.25,2,,
3/8/2017,61,61,Wednesday,3,0,2.541666667,3,,
3/9/2017,43,43,Thursday,4,0,1.791666667,2,,
